7.950 	 -53.896 	 0.456 
8.000 	 -53.816 	 0.461 
8.050 	 -53.737 	 0.467 
8.100 	 -53.658 	 0.472 
8.150 	 -53.579 	 0.477 
8.200 	 -53.500 	 0.483 
8.250 	 -53.421 	 0.488 
8.300 	 -53.343 	 0.494 
8.350 	 -53.265 	 0.499 
8.400 	 -53.187 	 0.505 
8.450 	 -53.109 	 0.510 
8.500 	 -53.031 	 0.516 
8.550 	 -52.954 	 0.521 
8.600 	 -52.876 	 0.527 
8.650 	 -52.799 	 0.533 
8.700 	 -52.723 	 0.538 
8.750 	 -52.646 	 0.544 
8.800 	 -52.569 	 0.550 
8.850 	 -52.493 	 0.555 
8.900 	 -52.417 	 0.561 
8.950 	 -52.341 	 0.567 
9.000 	 -52.265 	 0.573 
9.050 	 -52.189 	 0.579 
9.100 	 -52.113 	 0.584 
9.150 	 -52.038 	 0.590 
9.200 	 -51.962 	 0.596 
9.250 	 -51.887 	 0.602 
9.300 	 -51.812 	 0.608 
9.350 	 -51.737 	 0.614 
9.400 	 -51.663 	 0.620 
9.450 	 -51.588 	 0.626 
9.500 	 -51.513 	 0.632 
9.550 	 -51.439 	 0.638 
9.600 	 -51.365 	 0.644 
9.650 	 -51.291 	 0.650 
9.700 	 -51.217 	 0.657 
9.750 	 -51.143 	 0.663 
9.800 	 -51.069 	 0.669 
9.850 	 -50.995 	 0.675 
9.900 	 -50.921 	 0.681 
9.950 	 -50.848 	 0.688 
10.000 	 -50.774 	 0.694 
10.050 	 -50.701 	 0.700 
10.100 	 -50.627 	 0.706 
10.150 	 -50.554 	 0.713 
10.200 	 -50.481 	 0.719 
10.250 	 -50.408 	 0.726 
10.300 	 -50.335 	 0.732 
10.350 	 -50.261 	 0.738 
10.400 	 -50.188 	 0.745 
10.450 	 -50.115 	 0.751 
10.500 	 -50.042 	 0.758 
10.550 	 -49.969 	 0.765 
10.600 	 -49.896 	 0.771 
10.650 	 -49.823 	 0.778 
10.700 	 -49.750 	 0.784 
10.750 	 -49.677 	 0.791 
10.800 	 -49.604 	 0.798 
10.850 	 -49.530 	 0.804 
10.900 	 -49.457 	 0.811 
10.950 	 -49.384 	 0.818 
11.000 	 -49.310 	 0.824 
